"id","question_text","category","difficulty","expected_answer","created_at","skills","question_type","source"
3093,What happens with a weak retriever in Retrieval-Augmented Generation (RAG) systems?,Machine Learning,Intermediate,"A weak retriever in RAG systems leads to the retrieval of irrelevant or noisy document chunks. This can significantly degrade the quality of generated answers, as the RAG generator relies heavily on the retrieved context. The presence of irrelevant or noisy document chunks in the context because of poor retrieval causes the generator model to produce answers that are inaccurate or hallucinated while still appearing fluent. 

Therefore, strong retrievers are necessary to provide the most relevant context and ensure factual and relevant outputs in RAG systems.

👨🏻‍💻 LLM Engineer Toolkit
-------------------------------------------------------------------------------------------
🤖 This repository contains a curated list of 120+ LLM, RAG and Agent related libraries category wise. 

 [Repo link](https://github.com/KalyanKS-NLP/llm-engineer-toolkit) 

This repository is highly useful for Data Scientists, AI/ML Engineers working with LLM, RAG and Agents. 

![LLM Engineer Toolkit](images/llm-engineer-toolkit.jpg)

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,"{""Machine Learning""}",Technical,github_rag_repo
3094,What are effective strategies to reduce latency in RAG systems?,Machine Learning,Intermediate,"Caching, embedding quantization, selective query rewriting, and selective re-ranking are some of the ways to reduce RAG latency. Caching stores retrieved results or generated responses to avoid redundant computation. Embedding quantization to lower bit precision reduces memory and computational load, speeding up retrieval. 

Selective query rewriting enhances recall and relevance by refining queries prior to retrieval, primarily utilized for complex or ambiguous queries. Selective re-ranking is only used for complicated queries, which cuts down on unnecessary computation for simpler ones.",2026-06-11 17:40:12.591,"{""Machine Learning""}",Technical,github_rag_repo
3095,"Explain R, A, and G in RAG.",Machine Learning,Advanced,"RAG stands for Retrieval-Augmented Generation. The ""R"" or Retrieval, refers to the process of searching and fetching the most relevant information from external knowledge sources for the given user query. 

The ""A"" or Augmented, involves including the retrieved relevant context in the LLM prompt having the user query and instructions so that the LLM can generate a response based on the provided context.  

Finally, the ""G"" or Generation is the phase during which the generator LLM processes the prompt having instructions, a query, and context to generate a response that is coherent, accurate, and contextually relevant.",2026-06-11 17:40:12.591,"{""Machine Learning""}",Technical,github_rag_repo
3103,Explain the role of ANN (Approximate Nearest Neighbor) search algorithms in RAG retrieval.,Data Science,Intermediate,"Approximate Nearest Neighbor (ANN) search algorithms play a crucial role in RAG retrieval by enabling fast and scalable search of relevant document chunks within large vector databases.  Approximate Nearest Neighbor (ANN) algorithms enable fast search in RAG retrieval by quickly narrowing down the search space to a small subset of candidate vectors instead of scanning all vectors. 

This reduces the number of comparisons needed, significantly speeding up retrieval while maintaining good enough accuracy for relevant document chunks matching. This balance of speed and precision is crucial for real-time and large-scale RAG systems.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3104,Explain the step-by-step working of ANN algorithms for fast search in RAG retrieval.,Data Science,Intermediate,"ANN algorithms for fast search in RAG retrieval involve four steps namely - Encoding, Indexing, Navigating, Retrieving. 

(i) Encoding: Convert document chunks and queries into vector representations.

(ii) Indexing: Organize these vectors into a specialized data structure (like graphs or hash tables) for quick lookup.

(iii) Navigating: Efficiently explore the index to find vectors close to the query without checking all data points. 

(iv) Retrieving: Return the closest approximate neighbors that provide relevant information for RAG retrieval. 

This approach balances search speed and accuracy, enabling fast retrieval in large-scale RAG systems.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3105,"What are the typical distance metrics used for similarity search in vector databases, and why are they chosen?",Data Science,Intermediate,"Typical distance metrics used in vector databases for similarity search are Euclidean distance, cosine similarity, and dot product similarity. Euclidean distance measures the straight-line distance between vectors, making it intuitive for geometric closeness. Cosine similarity evaluates the angle between vectors, focusing on their direction (meaning) rather than magnitude. 

Dot product similarity considers both magnitude and direction. These metrics are selected based on the data type and the underlying embedding model to ensure effective and accurate retrieval.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3106,Explain why cosine similarity is preferred over other distance metrics in RAG retrieval.,Data Science,Intermediate,"Cosine similarity is preferred in RAG retrieval because it measures the angle between vectors, focusing on their direction (meaning) rather than magnitude. This makes it effective for textual data where the meaning lies more in the direction of the embedding than its length. 

Unlike Euclidean distance or dot product, cosine similarity is invariant to vector length, providing stable and interpretable similarity scores. This helps RAG systems retrieve relevant document chunks even when text lengths vary, improving accuracy and consistency in semantic search.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3107,Compare keyword-based retrieval and semantic retrieval in RAG systems.,Data Science,Intermediate,"Keyword-based retrieval in RAG systems relies on the exact or partial matching of keywords in a query to fetch relevant document chunks. This  offers high precision for queries with specific terms but may miss semantically related information. In contrast, semantic retrieval uses embeddings to understand the meaning behind the query and retrieves conceptually relevant content even when keywords differ.

Combining both methods can balance precision and semantic understanding for effective retrieval in RAG systems.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3115,What advantages does quantization offer over dimensionality reduction for scaling embeddings?,RAG Retrieval,Intermediate,"Quantization offers several advantages over dimensionality reduction for scaling embeddings in RAG retrieval. It compresses embeddings by reducing the precision of numerical values (e.g., from float32 to int8 or float8), achieving up to 4x storage reduction with minimal performance loss. 

Unlike dimensionality reduction, which may discard important features and degrade accuracy, quantization preserves the full dimensionality of embeddings, maintaining richer semantic information. Additionally, quantization accelerates computation on hardware optimized for lower-precision formats, improving retrieval speed. 

This makes it particularly effective for large-scale RAG systems where storage and latency are critical, while dimensionality reduction risks compromising retrieval quality.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3116,Explain the pros and cons of quantized embeddings in RAG retrieval.,RAG Retrieval,Intermediate,"Quantized embeddings in RAG systems offer significant benefits such as drastically reduced memory requirements and much faster retrieval speeds. This makes RAG retrieval more efficient and scalable when dealing with large knowledge bases. 

However, the trade-off is a slight drop in retrieval accuracy or relevance. Additionally, quantization effectiveness can vary depending on the embedding model. 

Overall, quantized embeddings enable cost-effective, high-speed retrieval but require managing a controlled trade-off between resource savings and accuracy.",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3117,Compare scalar and binary quantization for embeddings in RAG retrieval.,RAG Retrieval,Advanced,"Scalar quantization in RAG retrieval compresses embeddings by reducing the bit precision (commonly to int8), offering a moderate 4x reduction in memory usage while maintaining a good balance between retrieval accuracy and speed. 

Binary quantization, on the other hand, converts embeddings to 1-bit vectors, achieving up to 32x compression and significantly faster retrieval but at the cost of greater accuracy loss.  

Overall, scalar quantization suits use cases prioritizing accuracy with some compression, while binary quantization excels in large-scale, speed-critical scenarios where maximal memory efficiency outweighs some loss of precision.

☕ Support the Author
------------------------------------------------------------------------------------------
I hope you found this “RAG Interview Questions and Answers Hub”  highly useful.  

I’ve made this freely available to help the AI and NLP community grow and to support learners like you. If you found it helpful and would like to show your appreciation, you can buy me a coffee to keep me motivated in creating more free resources like this.

 [Buy Me a Coffee](https://ko-fi.com/kalyanksnlp)

Your small gesture goes a long way in supporting my work—thank you for being part of this journey! 🙏

— Kalyan KS

--------------------------------------------------------------------------------------------",2026-06-11 17:40:12.591,"{""Data Structures"",Algorithms}",Technical,github_rag_repo
3120,What are the different types of re-ranker models that can be used in RAG?,Re-Ranker Models in RAG,Intermediate,"The different types of re-ranker models used in Retrieval-Augmented Generation (RAG) are

Cross-Encoder Rerankers: These models jointly encode the query and document chunk pair to produce a highly accurate relevance score, offering nuanced understanding of relationships but with medium computational cost.

Multi-Vector or Late Interaction Models: Such as ColBERT, they encode queries and document chunks separately but perform fine-grained interaction later, balancing efficiency and performance with lower cost.

Large Language Model (LLM) Rerankers: Utilize powerful LLMs to reason about query-document chunk relevance, achieving great accuracy but incurring high computational overhead.

These models vary in their performance and computational cost, and choice depends on the application's accuracy and latency requirements.",2026-06-11 17:40:12.591,"{""Information Retrieval"",NLP}",Technical,github_rag_repo
3121,Compare general re-rankers and instruction-following re-rankers in RAG.,RAG Systems,Intermediate,"General re-rankers in RAG systems primarily focus on re-ranking retrieved document chunks just based on their semantic relevance to the user query. 

In contrast, instruction-following re-rankers go a step further by dynamically adjusting rankings based on additional user-provided instructions such as document recency, source reliability, or metadata criteria.",2026-06-11 17:40:12.591,"{""Information Retrieval"",NLP}",Technical,github_rag_repo
3125,"If your RAG system serves both simple factual queries and complex analytical questions, how would you decide when to bypass the re-ranker for efficiency while maintaining quality?",RAG Systems,Intermediate,"To decide when to bypass the re-ranker in a RAG system, queries should be classified based on complexity. Simple factual queries like ""What is the capital of France?""  require straightforward and well-known answers. Re-ranker can be skipped for simple factual queries, as the initial retrieval is likely to yield highly relevant results. 

For complex analytical questions, such as those requiring synthesis or reasoning across multiple chunks, the re-ranker should be used to ensure the most relevant chunks are prioritized.",2026-06-11 17:40:12.591,"{""Information Retrieval"",""Query Optimization""}",Technical,github_rag_repo
3126,Describe the vector pre-computation and storage strategy in a bi-encoder + cross-encoder pipeline. Why can't cross-encoders pre-compute text representations like bi-encoders can?,RAG Systems,Advanced,"The RAG pipeline leverages bi-encoders for fast retrieval and cross-encoders for the precise reranking of top candidates.

Bi-encoders pre-compute chunk representations by encoding them into fixed-size dense vectors offline and then storing them in a vector database for efficient retrieval. 

Cross-encoders, however, cannot pre-compute chunk representations because they jointly encode query-chunk pairs, capturing intricate interactions through attention mechanisms, requiring both inputs at inference time to produce a relevance score.",2026-06-11 17:40:12.591,"{Vectorization,""Encoder Design"",""Text Representation""}",Technical,github_rag_repo
3130,Compare the noise reduction capabilities of re-rankers versus simply increasing the similarity threshold in initial retrieval. When would each approach be more appropriate?,Technical,Intermediate,"Increasing the similarity threshold in initial retrieval reduces noise by filtering out less similar chunks but risks missing relevant ones due to embedding limitations.  Re-rankers reduce noise by prioritizing relevant chunks by deeply understanding query-chunk relevance.

The choice depends on the trade-off between computational cost and precision requirements. Re-rankers are preferred for high-stakes applications like legal or medical searches.  Increasing the similarity threshold is simpler and faster, suitable for resource-constrained environments.",2026-06-11 17:40:12.591,"{""Data Retrieval"",""Query Processing""}",Technical,github_rag_repo
3131,What challenges do re-rankers face regarding computational overhead and latency?,Technical,Advanced,"Re-rankers in RAG systems face significant challenges related to increased computational overhead and latency, as each query-chunk pair must be processed.  

This latency increase can hinder high-throughput environments, making re-rankers computationally expensive compared to initial vector searches and limiting scalability.",2026-06-11 17:40:12.591,"{""Machine Learning"",""Latency Optimization""}",Technical,github_rag_repo
3135,"Why is MRR unsuitable when there are multiple relevant chunks per query, and how does MAP address this limitation?",Machine Learning,Intermediate,"MRR (Mean Reciprocal Rank) considers the rank of the first relevant chunk and disregards the ranks and presence of other relevant chunks. This limitation makes MRR more appropriate for scenarios where a single chunk sufficiently answers the query. 

In contrast, MAP (Mean Average Precision) addresses this by averaging the precision across all relevant ranks, accounting for the presence and order of all relevant chunks. Hence, MAP is preferred over MRR for cases where multiple relevant chunks contribute to answering a query comprehensively.",2026-06-11 17:40:12.591,"{""Understanding of Information Retrieval Metrics""}",Technical,github_rag_repo
3145,Explain the possible reasons for a RAG retrieval system with consistently low context precision.,Natural Language Processing,Intermediate,"Context Precision is computed as the weighted sum of Precision@k, normalized by the number of relevant chunks. So low Context Precision@k scores reflect the presence of high proportion of irrelevant chunks or poor ranking of relevant chunks within the top K results. 

This could stem from ineffective query understanding, where the system misinterprets the user’s intent, or a poorly designed retrieval algorithm that fails to prioritize chunks matching the ground truth. Additionally, a noisy or low-quality document corpus might contain few relevant chunks, causing irrelevant ones to dominate the retrieved set.",2026-06-11 17:40:12.591,"{""Context Precision Calculation""}",Technical,github_rag_repo
3139,"Compare and contrast “order-aware” and “order-unaware” retrieval metrics in RAG, giving examples for each from the set (Precision, Recall, MRR, MAP, NDCG).",Information Retrieval,Intermediate,"Order-aware retrieval metrics consider the ranking of retrieved items, emphasizing the importance of higher-ranked relevant results. For example, Mean Reciprocal Rank (MRR) and Normalized Discounted Cumulative Gain (NDCG) are order-aware, as MRR evaluates the rank of the first relevant item and NDCG accounts for relevance scores and ranking positions.

Order-unaware metrics focus solely on whether relevant items are retrieved and ignore the order.  Precision and Recall are order-unaware, measuring the proportion of relevant items retrieved (Precision) and the proportion of relevant items found out of all relevant items (Recall), without considering their order.",2026-06-11 17:40:12.591,"{""Information Retrieval""}",Technical,github_rag_repo
3140,How would the value of NDCG@k change if all relevant chunks are retrieved but in the reverse order (least to most relevant)?,Information Retrieval,Intermediate,"NDCG@k rewards placing highly relevant chunks at earlier ranks and applies a logarithmic discount to relevance scores at lower positions. So reversing the order pushes the most relevant chunks further down the list—making them less valuable in the NDCG calculation. 
 
While all relevant items are present, their suboptimal positions reduce the overall score since NDCG is sensitive to both the presence and order of relevant items in the top k. The value of NDCG@k will decrease compared to the ideal ranking, but will remain higher than a ranking with irrelevant chunks at the top.",2026-06-11 17:40:12.591,"{""Information Retrieval""}",Technical,github_rag_repo
3141,"What is the significance of Context Precision@K in evaluating a RAG retriever, and how does it differ from standard Precision@k in traditional information retrieval?",Information Retrieval,Intermediate,"The standard Precision@k in traditional information retrieval just measures the proportion of relevant items among the top-k results and ignores the order. Unlike standard Precision@k,  Context Precision@K not only checks whether relevant chunks are retrieved, but also whether they appear at higher ranks in the context. 

Context Precision@K ensures useful information is prioritized in the retrieved context which greatly impacts the quality of the generated answer.",2026-06-11 17:40:12.591,"{""Information Retrieval""}",Technical,github_rag_repo
3144,A RAG system achieves Context Precision@5 = 0.8. What are the possible scenarios that could lead to this score?,RAG,Intermediate,"A Context Precision@5 score of 0.8 in a RAG system indicates that not all of the top five retrieved chunks are relevant to the ground truth. This could occur if, for instance, four out of five chunks are relevant ($v_k$ = 1) and one is irrelevant ($v_k$ = 0), leading to a lower weighted sum of Precision@k when normalized by the total number of relevant chunks. 

Another scenario might involve three relevant chunks and two irrelevant ones, with the relevant chunks ranked higher but still resulting in a score less than 1 due to the presence of irrelevant chunks.",2026-06-11 17:40:12.591,"{""Information Retrieval""}",Technical,github_rag_repo
3150,Describe a scenario where a RAG system might achieve high Context Recall but still produce poor answers. What complementary metrics would you use alongside Context Recall to get a complete picture of retriever performance?,Interview,Intermediate,"A RAG system might achieve high Context Recall by retrieving most or all relevant information pieces but still produce poor answers if the retrieved context contains noisy or irrelevant data that confuses the generator. 

To get a complete picture of retriever performance, complementary metrics like Context Precision should be used alongside Context Recall. Context Recall along with Context Precision  ensures retrieved content is not only comprehensive but is also relevant and well-ranked.",2026-06-11 17:40:12.591,"{""Data Retrieval""}",Technical,github_rag_repo
3151,"If your RAG retriever consistently shows Context Recall scores below 0.6, what are the three potential root causes?",Interview,Intermediate,"Context Recall scores below 0.6 mean that the retriever is missing a significant portion of the relevant information required to answer user queries. 

The three potential root causes are 
(1) an incomplete or outdated knowledge base lacking necessary information, 
(2) ineffective embedding model or ranking algorithms causing semantically relevant chunks to be missed, and 
(3) poor chunking strategy leading to loss of key information.",2026-06-11 17:40:12.591,"{""Data Retrieval""}",Technical,github_rag_repo
3152,Why is it important for RAG systems to optimize both context precision and context recall simultaneously? What trade-offs might occur?,Interview,Intermediate,"It is important for RAG systems to optimize both context precision and context recall simultaneously. This is because context precision ensures that the retrieved information is highly relevant and ranked appropriately. The Context Recall metric ensures that all necessary information is included in the retrieved context so that the generator can output a complete answer. 

The trade-off often arises because increasing recall by retrieving more chunks may introduce irrelevant chunks, lowering precision. At the same time, focusing solely on precision might omit important information, leading to incomplete responses. 

Balancing these metrics helps create a RAG system that retrieves relevant content efficiently while covering the query comprehensively, resulting in accurate and thorough generated answers.",2026-06-11 17:40:12.591,"{""Data Retrieval""}",Technical,github_rag_repo
