"id","question_text","category","difficulty","expected_answer","created_at","skills","question_type","source","embedding"
273,What is a heap table in MySQL?,MySQL,Intermediate,"A heap table is usually used for temporary and fast temporary storage. BLOB or TEXT fields are not permitted in the heap table. comparison operator like =, <,>, = >,=< can be used only. Heap table didn't support the AUTO_INCREMENT command. Indexes should be NOT NULL in the heap table.",2026-06-16 12:45:40.229,{SQL},Technical,gfg,
275,What is the difference between DELETE and TRUNCATE commands in MySQL?,MySQL,Intermediate,DELETE Command is used to delete rows from the table depending on given the condition. TRUNCATE command is used to DELETE all rows from the table. DELETE command is a Data Manipulation Language command. TRUNCATE command is a Data Definition Language command.,2026-06-16 12:45:40.229,{SQL},Technical,gfg,
434,How Do You Perform a Live Migration Of Docker Containers Between Hosts?,Docker,Intermediate,"For performing a live migration of docker containers between hosts can be achieved through using container orchestration tools like Docker Swarm or Kubernetes. These tools will manage the seamless containers movements across the hosts on ensuring minimal downtime. Through Utilizing the features such as Swarm's `docker service update` or Kubernetes' `kubectl drain` and `kubectl uncordon` commands, you can initiate the live migrations by allowing containers to be moved to different hosts while maintaining the availability of application.",2026-06-16 12:45:40.229,"{Docker,""Container Orchestration""}",Technical,gfg,
435,What is the difference between a Pod and a container?,Docker,Advanced,"A container is a single, isolated process. A Pod is a logical host for one or more tightly coupled containers that need to share resources. Containers within the same Pod share the same network namespace (they can communicate via localhost) and can share storage volumes. While a Pod can contain a single container, the Pod itself is the object that Kubernetes manages, schedules, and scales.",2026-06-16 12:45:40.229,"{Docker,""Container Orchestration""}",Technical,gfg,
460,A log file is updating continuously. How do you monitor it?,Linux,Beginner,tail -f /var/log/syslog This is commonly used in production environments to monitor live system or application logs.,2026-06-16 12:45:40.229,{Linux},Technical,gfg,
461,How do you search for a specific word inside a file?,Linux,Intermediate,"grep ""error"" filename grep is widely used for identifying errors or patterns in log files.",2026-06-16 12:45:40.229,"{Linux,""Command Line""}",Technical,gfg,
48,What are unit tests in Python?,Python,Intermediate,Unit Testing is the first level of software testing where the smallest testable parts of the software are tested. This is used to validate that each unit of the software performs as designed. The unit test framework is Python’s xUnit style framework. The White Box Testing method is used for Unit testing.,2026-06-16 12:45:40.229,{Python},Technical,gfg,
49,Python Global Interpreter Lock (GIL)?,Python,Intermediate,"Python Global Interpreter Lock (GIL) is a mechanism used in the CPython interpreter that allows only one thread to execute Python bytecode at a time. This simplifies memory management and makes the interpreter thread-safe. Python supports multithreading. In CPython, only one thread can execute Python bytecode at a time because of the GIL. The GIL mainly affects CPU-bound multithreaded programs. I/O-bound programs can still benefit from multithreading. Multiprocessing can be used to achieve true parallelism across multiple CPU cores.",2026-06-16 12:45:40.229,{Python},Technical,gfg,
437,"What is the relationship between a Deployment, ReplicaSet, and Pod?",Kubernetes,Intermediate,"Management Hierarchy Deployment : Defines the desired state of an application (e.g., number of replicas, container image) and manages updates. ReplicaSet : Ensures the specified number of Pods are running; created and managed by the Deployment. Pod : The smallest deployable unit; runs one or more containers. Update Strategy Updating a Deployment (e.g., new image) triggers creation of a new ReplicaSet. Kubernetes performs a rolling update: scales up the new ReplicaSet while scaling down the old one. The old ReplicaSet is retained (scaled to zero) for rollback if needed.",2026-06-16 12:45:40.229,{Kubernetes},Technical,gfg,
438,"What are ConfigMaps and Secrets in Kubernetes, and how do they differ?",Kubernetes,Intermediate,"ConfigMaps and Secrets are Kubernetes API objects used to externalize configuration from application code, but they serve distinct purposes: ConfigMap Stores non-sensitive configuration data as key-value pairs. Used for environment variables, command-line args, or config files. Secret Stores sensitive data like passwords, tokens, and SSH keys. Data is base64-encoded by default (not encrypted). Supports fine-grained access control via RBAC.",2026-06-16 12:45:40.229,{Kubernetes},Technical,gfg,
489,What is LVM and why is it used in production?,Linux,Advanced,"LVM provides flexible disk management, allowing volumes to be resized without downtime. It simplifies storage expansion, snapshots, and recovery compared to fixed partitions.",2026-06-16 12:45:40.229,"{""Logical Volume Manager (LVM)""}",Technical,gfg,
274,What is the main difference between the primary key and the candidate key?,Database Concepts,Intermediate,The primary key uniquely identified each row of a table. only one primary key is available for a table. A primary is also a candidate key. Candidate key that can be used for all foreign key references.,2026-06-16 12:45:40.229,{Database},Technical,gfg,
287,What is Normalization and list the different types of normalization?,Database,Intermediate,Normalization is used to avoid duplication and redundancy. it is a process of organizing data. There are many normal forms of normalization. which are also called successive levels. The first three regular forms are sufficient. First Normal Form (1NF): There are no repeating groups within rows. Second Normal form(2NF): Value of every supporting column depending on the whole primary key. Third Normal Form(3NF): It depends only on the primary key and no other value of non-key column.,2026-06-16 12:45:40.229,"{Normalization,SQL}",Technical,gfg,
288,What are various ways to create an index?,Database,Intermediate,"There are many options to create an index as below: T-SQL statements can be used to create an index. The SQL Server Management Studio is available for use. we can use this to browse to the table where the index will be created, and then right-click on the Indexes node. We must select the New Index option over here. We can identify the index indirectly by specifying the PRIMARY KEY and the UNIQUE constraint in the CREATE TABLE or ALTER TABLE statement.",2026-06-16 12:45:40.229,"{""SQL Server Management Studio"",T-SQL,""CREATE TABLE statement""}",Technical,gfg,
289,What are a clustered index and a non clustered index?,Database,Intermediate,Cluster Index: An index type used to arrange data in a table is called a clustered index. The table's data are stored in a specific order based on the clustered index. Non Cluster Index: A non-clustered index is also a type of index used to organize data in a table. The table's data are not stored in a specific order based on the non clustered index.,2026-06-16 12:45:40.229,"{""Understanding of SQL and database indexing""}",Technical,gfg,
290,How tovalidate emails using a single query?,Database,Intermediate,"We can use the regular expressions function (REGEXP_LIKE) to validate emails. Below is the example of validate emails using a single query. SELECT Email FROM Vehicle where NOT REGEXP_LIKE(Email, '[A-Z0-9._%+-]+@[A-Z0-9.-]+.[A-Z]{2,4}', 'i');",2026-06-16 12:45:40.229,"{""Regular Expressions"",SQL}",Technical,gfg,
291,How can you handle the –secure-file-priv in MySQL?,Database,Intermediate,"The MySQL Server is restricted from loading directories using the LOAD DATA INFILE command by the -secure-file-priv option. Use the SHOW VARIABLES LIKE ""secure_file_priv"" command to view the directory that has been configured. There are two options to handle as below. Either transfer your file to the directory that secure-file-priv specifies. Or you can turn off secure-file-priv. This must be removed at the beginning and cannot be disabled later.",2026-06-16 12:45:40.229,"{""MySQL configuration options""}",Technical,gfg,
292,How does MongoDB differ from relational databases?,Database,Advanced,"Data Model: MongoDB: Document-oriented, stores data in flexible JSON/BSON documents. Relational DB: Table-based, stores data in rows and columns with a fixed schema. Schema: MongoDB: Schema-less; documents in a collection can have different structures. Relational DB: Schema must be defined upfront; all rows follow the same structure. Relationships: MongoDB: Uses embedding or referencing; no JOINs required. Relational DB: Uses foreign keys and JOINs to establish relationships. Scalability: MongoDB: Horizontally scalable using sharding. Relational DB: Typically vertically scalable; horizontal scaling is complex. Querying: MongoDB: Uses a rich query language for documents, supports nested structures and arrays. Relational DB: Uses SQL for structured queries across tables.",2026-06-16 12:45:40.229,"{""Understanding of MongoDB and relational databases""}",Technical,gfg,
293,How does MongoDB store data internally?,MongoDB,Intermediate,"MongoDB stores data in BSON (Binary JSON) format, which is optimized for speed and traversing. Collections are stored in databases as files on disk using the WiredTiger storage engine.",2026-06-16 12:45:40.229,"{""Understanding of BSON, WiredTiger storage engine""}",Technical,gfg,
294,What data types are supported in MongoDB documents?,MongoDB,Intermediate,"MongoDB supports a variety of BSON data types, which extend standard JSON types: String – Textual data. Number – Integer (int), Long (long), Double (double), Decimal (Decimal128). Boolean – true or false. Date – Stores date and time in UTC format. Array – List of values (can store mixed types). Object / Embedded Document – Nested documents within a document. ObjectId – Unique identifier automatically generated for _id field. Null – Represents a null value. Binary Data – Stores binary data like images or files. Regular Expression – For pattern matching. Timestamp – Special internal type used for replication and sharding. Code / JavaScript – Stores JavaScript code.",2026-06-16 12:45:40.229,"{""Understanding of MongoDB data types""}",Technical,gfg,
295,How to Create a New Database and Collection in MongoDB?,MongoDB,Intermediate,"To create a new database and collection in MongoDB, you can use the mongo shell: use mydatabase db.createCollection(""mycollection"") This command switches to mydatabase (creating it if it doesn't exist) and creates a new collection named mycollection.",2026-06-16 12:45:40.229,"{""Understanding of MongoDB database and collection operations""}",Technical,gfg,
503,A cron job is not running. What do you verify?,Linux,Intermediate,Cron service status Script permissions Absolute paths inside the script Cron logs,2026-06-16 12:45:40.229,{Linux},Technical,gfg,
66,What are QuerySets in Django?,Django,Intermediate,"A QuerySet in Django represents a collection of database queries used to retrieve, filter, and manipulate model objects. It provides a high-level, Pythonic API to interact with the database. Lazy evaluation: A QuerySet is not executed until the data is actually needed (e.g., iteration, slicing, or conversion). Filtering and chaining: Methods like .filter(), .exclude(), .order_by() can be combined to build complex queries. Model instances: Results are returned as objects of the corresponding model. Reusable and flexible: The same QuerySet can be refined further without hitting the database multiple times. Example: Python # Retrieve all active users users = User . objects . filter ( is_active = True )",2026-06-16 12:45:40.229,"{Python,Django}",Technical,gfg,
67,What is the difference betweenget()andfilter()in Django ORM?,Django,Intermediate,get(): Returns a single object that matches the query. Raises DoesNotExist or MultipleObjectsReturned if results don’t match exactly one. filter(): Returns a QuerySet (list-like) of all matching records.,2026-06-16 12:45:40.229,"{Python,Django}",Technical,gfg,
68,What is the difference between null=True and blank=True in Django models?,Django,Intermediate,null=True: Database-level; allows storing NULL in the column. blank=True: Validation-level; allows the field to be left empty in forms. Often used together for optional fields.,2026-06-16 12:45:40.229,"{Python,Django}",Technical,gfg,
